No,AAEff,AAEbb,Fr,BCff,BCbb,BC,BCff,BCbb,Angstrom
1,0.9,1.7,0.68,683,302,985,69%,31%,1.2
2,0.9,1.8,0.71,717,268,985,73%,27%,1.2
3,0.9,1.9,0.74,744,241,985,76%,24%,1.2
4,0.9,2,0.76,766,219,985,78%,22%,1.2
5,0.9,2.1,0.78,784,201,985,80%,20%,1.2
6,0.9,2.2,0.79,799,186,985,81%,19%,1.2
7,1,1.7,0.73,738,247,985,75%,25%,1.2
8,1,1.8,0.76,766,219,985,78%,22%,1.2
9,1,1.9,0.78,788,197,985,80%,20%,1.2
10,1,2,0.80,806,179,985,82%,18%,1.2
11,1,2.1,0.81,820,165,985,83%,17%,1.2
12,1,2.2,0.82,832,154,985,84%,16%,1.2
13,1.1,1.7,0.80,812,174,986,82%,18%,1.2
14,1.1,1.8,0.82,820,165,986,83%,17%,1.2
15,1.1,1.9,0.83,830,155,985,84%,16%,1.2
16,1.1,2,0.84,842,145,985,85%,15%,1.2
17,1.1,2.1,0.85,863,122,985,88%,12%,1.2
18,1.1,2.2,0.85,863,122,985,88%,12%,1.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
